rep,pitype,biastype,method,AC
37,unequalpi,bias,FUBAR1,0.4927821134636273
37,unequalpi,bias,FUBAR2,0.4927749252064241
37,unequalpi,nobias,FUBAR1,0.5160232979790286
37,unequalpi,nobias,FUBAR2,0.5160214237224778
38,unequalpi,bias,FUBAR1,0.4697490155454229
38,unequalpi,bias,FUBAR2,0.4697580357636953
38,unequalpi,nobias,FUBAR1,0.3436476209010626
38,unequalpi,nobias,FUBAR2,0.3437555758367749
39,unequalpi,bias,FUBAR1,0.5288779974778377
39,unequalpi,bias,FUBAR2,0.5288184284143227
39,unequalpi,nobias,FUBAR1,0.6014460602302955
39,unequalpi,nobias,FUBAR2,0.6015711741101177
3,unequalpi,bias,FUBAR1,0.400979288804195
3,unequalpi,bias,FUBAR2,0.4009694354510644
3,unequalpi,nobias,FUBAR1,0.48843735559548
3,unequalpi,nobias,FUBAR2,0.4884242434415719
40,unequalpi,bias,FUBAR1,0.3998523436487419
40,unequalpi,bias,FUBAR2,0.3998454213379757
40,unequalpi,nobias,FUBAR1,0.4733419852427055
40,unequalpi,nobias,FUBAR2,0.4733359016474186
41,unequalpi,bias,FUBAR1,0.7319111370764192
41,unequalpi,bias,FUBAR2,0.732270024834862
41,unequalpi,nobias,FUBAR1,0.4495240768204332
41,unequalpi,nobias,FUBAR2,0.4495721695736006
42,unequalpi,bias,FUBAR1,0.465099435953867
42,unequalpi,bias,FUBAR2,0.4651147710296271
42,unequalpi,nobias,FUBAR1,0.4350401800639178
42,unequalpi,nobias,FUBAR2,0.4350537676331995
43,unequalpi,bias,FUBAR1,0.4281033170824051
43,unequalpi,bias,FUBAR2,0.4281352370055538
43,unequalpi,nobias,FUBAR1,0.4310977508667536
43,unequalpi,nobias,FUBAR2,0.4310967070766936
44,unequalpi,bias,FUBAR1,0.3698209142524808
44,unequalpi,bias,FUBAR2,0.3697930405297453
44,unequalpi,nobias,FUBAR1,0.3698139836473255
44,unequalpi,nobias,FUBAR2,0.3697786461148022
45,unequalpi,bias,FUBAR1,0.4167879559391336
45,unequalpi,bias,FUBAR2,0.416771380595016
45,unequalpi,nobias,FUBAR1,0.4991575312861805
45,unequalpi,nobias,FUBAR2,0.4992361318751348
46,unequalpi,bias,FUBAR1,0.519185657923028
46,unequalpi,bias,FUBAR2,0.5191745923763422
46,unequalpi,nobias,FUBAR1,0.3813806321279232
46,unequalpi,nobias,FUBAR2,0.3813839374514514
47,unequalpi,bias,FUBAR1,0.4887034728539065
47,unequalpi,bias,FUBAR2,0.4887033182892788
47,unequalpi,nobias,FUBAR1,0.339110360671615
47,unequalpi,nobias,FUBAR2,0.3391694005854753
48,unequalpi,bias,FUBAR1,0.4682659919586173
48,unequalpi,bias,FUBAR2,0.4683307196832358
48,unequalpi,nobias,FUBAR1,0.4200735545006692
48,unequalpi,nobias,FUBAR2,0.4200251027509774
49,unequalpi,bias,FUBAR1,0.608835496333613
49,unequalpi,bias,FUBAR2,0.6087657270661506
49,unequalpi,nobias,FUBAR1,0.4983162833497863
49,unequalpi,nobias,FUBAR2,0.4983001885364589
4,unequalpi,bias,FUBAR1,0.2874149032382766
4,unequalpi,bias,FUBAR2,0.2874158302328468
4,unequalpi,nobias,FUBAR1,0.4666527708890207
4,unequalpi,nobias,FUBAR2,0.4666528129171877
50,unequalpi,bias,FUBAR1,0.311782547776591
50,unequalpi,bias,FUBAR2,0.3118101799425354
50,unequalpi,nobias,FUBAR1,0.3927940195439104
50,unequalpi,nobias,FUBAR2,0.3927912195318773
5,unequalpi,bias,FUBAR1,0.4141270048122655
5,unequalpi,bias,FUBAR2,0.4139045287589548
5,unequalpi,nobias,FUBAR1,0.5303359155882819
5,unequalpi,nobias,FUBAR2,0.5303597804800283
6,unequalpi,bias,FUBAR1,0.4917326275422552
6,unequalpi,bias,FUBAR2,0.4917292706112676
6,unequalpi,nobias,FUBAR1,0.4153135103450946
6,unequalpi,nobias,FUBAR2,0.4153107873266138
7,unequalpi,bias,FUBAR1,0.4108636538053094
7,unequalpi,bias,FUBAR2,0.4108911652348376
7,unequalpi,nobias,FUBAR1,0.3926303559650697
7,unequalpi,nobias,FUBAR2,0.3926275184575291
8,unequalpi,bias,FUBAR1,0.3748487090500243
8,unequalpi,bias,FUBAR2,0.374838331564901
8,unequalpi,nobias,FUBAR1,0.3826059118571232
8,unequalpi,nobias,FUBAR2,0.3825892384889737
9,unequalpi,bias,FUBAR1,0.5374121449882718
9,unequalpi,bias,FUBAR2,0.5374887572525423
9,unequalpi,nobias,FUBAR1,0.5193267554603503
9,unequalpi,nobias,FUBAR2,0.519354714934614
