rep,pitype,biastype,method,mutationtype,mutationrate
15,unequalpi,bias,FUBAR2,AC,0.4977455397877887
15,unequalpi,bias,FUBAR2,GT,0.1928095258335322
15,unequalpi,bias,FUBAR2,CG,0.1329550744924734
15,unequalpi,bias,FUBAR2,AT,0.2622360096728391
15,unequalpi,bias,FUBAR2,CT,0.974974509098004
15,unequalpi,nobias,FUBAR1,AC,0.4400209042907397
15,unequalpi,nobias,FUBAR1,GT,0.2545653179090335
15,unequalpi,nobias,FUBAR1,CG,0.2358192623365755
15,unequalpi,nobias,FUBAR1,AT,0.2902456057148441
15,unequalpi,nobias,FUBAR1,CT,1.279327282923953
15,unequalpi,nobias,FUBAR2,AC,0.4400103206841353
15,unequalpi,nobias,FUBAR2,GT,0.254555670319961
15,unequalpi,nobias,FUBAR2,CG,0.2357930320813202
15,unequalpi,nobias,FUBAR2,AT,0.2902360069506707
15,unequalpi,nobias,FUBAR2,CT,1.279161599530794
16,unequalpi,bias,FUBAR1,AC,0.4743699463185715
16,unequalpi,bias,FUBAR1,GT,0.2210060719850799
16,unequalpi,bias,FUBAR1,CG,0.2533989092492781
16,unequalpi,bias,FUBAR1,AT,0.2784011918855896
16,unequalpi,bias,FUBAR1,CT,1.082883114659096
16,unequalpi,bias,FUBAR2,AC,0.4743231749739696
16,unequalpi,bias,FUBAR2,GT,0.2209910007044129
16,unequalpi,bias,FUBAR2,CG,0.2534069943540041
16,unequalpi,bias,FUBAR2,AT,0.2783854827777177
16,unequalpi,bias,FUBAR2,CT,1.082651929719827
16,unequalpi,nobias,FUBAR1,AC,0.5122569354428432
16,unequalpi,nobias,FUBAR1,GT,0.223471676422786
16,unequalpi,nobias,FUBAR1,CG,0.2286217215346921
16,unequalpi,nobias,FUBAR1,AT,0.319495679736518
16,unequalpi,nobias,FUBAR1,CT,1.208699718080097
16,unequalpi,nobias,FUBAR2,AC,0.5122997982456668
16,unequalpi,nobias,FUBAR2,GT,0.2234821637997423
16,unequalpi,nobias,FUBAR2,CG,0.2286182228746919
16,unequalpi,nobias,FUBAR2,AT,0.3194988574165845
16,unequalpi,nobias,FUBAR2,CT,1.207883075134276
17,unequalpi,bias,FUBAR1,AC,0.5220976243817617
17,unequalpi,bias,FUBAR1,GT,0.1712807539212121
17,unequalpi,bias,FUBAR1,CG,0.1811106493576194
17,unequalpi,bias,FUBAR1,AT,0.2772144763876466
17,unequalpi,bias,FUBAR1,CT,1.060593671092
17,unequalpi,bias,FUBAR2,AC,0.5220995637048504
17,unequalpi,bias,FUBAR2,GT,0.171281334006499
17,unequalpi,bias,FUBAR2,CG,0.1811112357261754
17,unequalpi,bias,FUBAR2,AT,0.2772081131036764
17,unequalpi,bias,FUBAR2,CT,1.060665716152596
17,unequalpi,nobias,FUBAR1,AC,0.3613361767261746
17,unequalpi,nobias,FUBAR1,GT,0.2037764449543793
17,unequalpi,nobias,FUBAR1,CG,0.1878075216396368
17,unequalpi,nobias,FUBAR1,AT,0.268794294829425
17,unequalpi,nobias,FUBAR1,CT,0.965677755762118
17,unequalpi,nobias,FUBAR2,AC,0.3612906143729496
17,unequalpi,nobias,FUBAR2,GT,0.2036725043985951
17,unequalpi,nobias,FUBAR2,CG,0.187731655528106
17,unequalpi,nobias,FUBAR2,AT,0.2687721487500876
17,unequalpi,nobias,FUBAR2,CT,0.9650533765911532
18,unequalpi,bias,FUBAR1,AC,0.4752088587579997
18,unequalpi,bias,FUBAR1,GT,0.2061668560025058
18,unequalpi,bias,FUBAR1,CG,0.3210865954726678
18,unequalpi,bias,FUBAR1,AT,0.3125480677338102
18,unequalpi,bias,FUBAR1,CT,1.117121124274803
18,unequalpi,bias,FUBAR2,AC,0.4752818071436525
18,unequalpi,bias,FUBAR2,GT,0.2062609549863535
18,unequalpi,bias,FUBAR2,CG,0.3212498250046297
18,unequalpi,bias,FUBAR2,AT,0.3127054420815942
18,unequalpi,bias,FUBAR2,CT,1.117124806378615
18,unequalpi,nobias,FUBAR1,AC,0.5041547407291973
18,unequalpi,nobias,FUBAR1,GT,0.2130955457826432
18,unequalpi,nobias,FUBAR1,CG,0.2019455775168519
18,unequalpi,nobias,FUBAR1,AT,0.3239832335229192
18,unequalpi,nobias,FUBAR1,CT,1.096637457890816
18,unequalpi,nobias,FUBAR2,AC,0.5041634883736975
18,unequalpi,nobias,FUBAR2,GT,0.2130892963010137
18,unequalpi,nobias,FUBAR2,CG,0.2019048322949524
18,unequalpi,nobias,FUBAR2,AT,0.3239908295833158
18,unequalpi,nobias,FUBAR2,CT,1.096632994880826
19,unequalpi,bias,FUBAR1,AC,0.420915785657186
19,unequalpi,bias,FUBAR1,GT,0.1936266728069167
19,unequalpi,bias,FUBAR1,CG,0.2642502296411339
19,unequalpi,bias,FUBAR1,AT,0.2600455776816537
19,unequalpi,bias,FUBAR1,CT,1.073850762425789
19,unequalpi,bias,FUBAR2,AC,0.4209027580400677
19,unequalpi,bias,FUBAR2,GT,0.1936453794404835
19,unequalpi,bias,FUBAR2,CG,0.2642554735233129
19,unequalpi,bias,FUBAR2,AT,0.2600509186652915
19,unequalpi,bias,FUBAR2,CT,1.073912813123758
19,unequalpi,nobias,FUBAR1,AC,0.4258967242006949
19,unequalpi,nobias,FUBAR1,GT,0.1369873141111841
19,unequalpi,nobias,FUBAR1,CG,0.2277455861418776
19,unequalpi,nobias,FUBAR1,AT,0.2923389309129568
19,unequalpi,nobias,FUBAR1,CT,1.347647061998812
19,unequalpi,nobias,FUBAR2,AC,0.4258951784768298
19,unequalpi,nobias,FUBAR2,GT,0.1369871575991834
19,unequalpi,nobias,FUBAR2,CG,0.2277851570288436
19,unequalpi,nobias,FUBAR2,AT,0.2923317220384863
19,unequalpi,nobias,FUBAR2,CT,1.347639067229738
1,unequalpi,bias,FUBAR1,AC,0.3562821267007032
1,unequalpi,bias,FUBAR1,GT,0.2632076545083971
1,unequalpi,bias,FUBAR1,CG,0.266526902373061
1,unequalpi,bias,FUBAR1,AT,0.3561898444276437
1,unequalpi,bias,FUBAR1,CT,1.502997839429121
1,unequalpi,bias,FUBAR2,AC,0.3562866120257032
1,unequalpi,bias,FUBAR2,GT,0.2632087387750019
1,unequalpi,bias,FUBAR2,CG,0.2665161188651175
1,unequalpi,bias,FUBAR2,AT,0.3561941252062131
1,unequalpi,bias,FUBAR2,CT,1.502993907736516
1,unequalpi,nobias,FUBAR1,AC,0.4504920909758848
1,unequalpi,nobias,FUBAR1,GT,0.2156717375594704
1,unequalpi,nobias,FUBAR1,CG,0.2401186686801366
1,unequalpi,nobias,FUBAR1,AT,0.3981523514276165
1,unequalpi,nobias,FUBAR1,CT,1.25567779702483
1,unequalpi,nobias,FUBAR2,AC,0.4503954487952239
1,unequalpi,nobias,FUBAR2,GT,0.2156713806690549
1,unequalpi,nobias,FUBAR2,CG,0.2401182669438855
1,unequalpi,nobias,FUBAR2,AT,0.3981503683879097
1,unequalpi,nobias,FUBAR2,CT,1.255852417581679
20,unequalpi,bias,FUBAR1,AC,0.4034283393774995
20,unequalpi,bias,FUBAR1,GT,0.2443493629227461
20,unequalpi,bias,FUBAR1,CG,0.1170164502349801
20,unequalpi,bias,FUBAR1,AT,0.3058445808544953
20,unequalpi,bias,FUBAR1,CT,0.8984701645363969
20,unequalpi,bias,FUBAR2,AC,0.40342406964327
20,unequalpi,bias,FUBAR2,GT,0.244347704485213
20,unequalpi,bias,FUBAR2,CG,0.1170096085692144
20,unequalpi,bias,FUBAR2,AT,0.3058425060640751
20,unequalpi,bias,FUBAR2,CT,0.8984639819666063
20,unequalpi,nobias,FUBAR1,AC,0.3636358066749625
20,unequalpi,nobias,FUBAR1,GT,0.1771913094701967
20,unequalpi,nobias,FUBAR1,CG,0.2053081078960755
20,unequalpi,nobias,FUBAR1,AT,0.3619527781371691
20,unequalpi,nobias,FUBAR1,CT,1.058325458007461
20,unequalpi,nobias,FUBAR2,AC,0.3637001057086892
20,unequalpi,nobias,FUBAR2,GT,0.1771784013637536
20,unequalpi,nobias,FUBAR2,CG,0.2053066355219788
20,unequalpi,nobias,FUBAR2,AT,0.3619058111271087
20,unequalpi,nobias,FUBAR2,CT,1.058359210043472
21,unequalpi,bias,FUBAR1,AC,0.4925877476933314
21,unequalpi,bias,FUBAR1,GT,0.1412859073149494
21,unequalpi,bias,FUBAR1,CG,0.2245277197908377
21,unequalpi,bias,FUBAR1,AT,0.3075327689084881
21,unequalpi,bias,FUBAR1,CT,1.031804483997195
21,unequalpi,bias,FUBAR2,AC,0.4926336774586794
21,unequalpi,bias,FUBAR2,GT,0.1412857283410204
21,unequalpi,bias,FUBAR2,CG,0.224497106216025
21,unequalpi,bias,FUBAR2,AT,0.3075293041076709
21,unequalpi,bias,FUBAR2,CT,1.031962193829352
21,unequalpi,nobias,FUBAR1,AC,0.4128378807125027
21,unequalpi,nobias,FUBAR1,GT,0.2471566123973807
21,unequalpi,nobias,FUBAR1,CG,0.2570636782709687
21,unequalpi,nobias,FUBAR1,AT,0.3477362302706215
21,unequalpi,nobias,FUBAR1,CT,1.384490879614585
21,unequalpi,nobias,FUBAR2,AC,0.412904623015849
21,unequalpi,nobias,FUBAR2,GT,0.2471560185818048
21,unequalpi,nobias,FUBAR2,CG,0.2570628260434663
21,unequalpi,nobias,FUBAR2,AT,0.3476974872036855
21,unequalpi,nobias,FUBAR2,CT,1.384758180097917
22,unequalpi,bias,FUBAR1,AC,0.4363536848027064
22,unequalpi,bias,FUBAR1,GT,0.199480018612827
22,unequalpi,bias,FUBAR1,CG,0.2173481963952589
22,unequalpi,bias,FUBAR1,AT,0.3649364957582125
22,unequalpi,bias,FUBAR1,CT,0.9976969329942017
22,unequalpi,bias,FUBAR2,AC,0.4363768428824306
